Date;Price;;;;;;;;
5/4/2017;18.82;;;;;;;;
6/4/2017;18.7405;;;;;;;;
7/4/2017;18.6688;;;;;;;;
10/4/2017;18.6787;;;;;;;;
11/4/2017;18.7813;;;;;;;;
12/4/2017;18.5513;;;;;;;;
13/4/2017;18.5885;;;;;;;;
14/4/2017;18.5038;;;;;;;;
17/4/2017;18.498;;;;;;;;
18/4/2017;18.594;;;;;;;;
19/4/2017;18.849;;;;;;;;
20/4/2017;18.788;;;;;;;;
21/4/2017;18.8125;;;;;;;;
24/4/2017;18.733;;;;;;;;
25/4/2017;18.8555;;;;;;;;
26/4/2017;19.183;;;;;;;;
27/4/2017;19.0257;;;;;;;;
28/4/2017;18.82;;;;;;;;
1/5/2017;18.7386;;;;;;;;
2/5/2017;18.7593;;;;;;;;
3/5/2017;18.866;;;;;;;;
4/5/2017;19.053;;;;;;;;
5/5/2017;18.9995;;;;;;;;
8/5/2017;19.211;;;;;;;;
9/5/2017;19.1715;;;;;;;;
10/5/2017;19.014;;;;;;;;
11/5/2017;18.832;;;;;;;;
12/5/2017;18.8157;;;;;;;;
15/5/2017;18.6995;;;;;;;;
16/5/2017;18.6425;;;;;;;;
17/5/2017;18.7812;;;;;;;;
18/5/2017;18.829;;;;;;;;
19/5/2017;18.7052;;;;;;;;
22/5/2017;18.6646;;;;;;;;
23/5/2017;18.634;;;;;;;;
24/5/2017;18.443;;;;;;;;
25/5/2017;18.506;;;;;;;;
26/5/2017;18.518;;;;;;;;
29/5/2017;18.4772;;;;;;;;
30/5/2017;18.7083;;;;;;;;
31/5/2017;18.6212;;;;;;;;
1/6/2017;18.6392;;;;;;;;
2/6/2017;18.685;;;;;;;;
5/6/2017;18.343;;;;;;;;
6/6/2017;18.236;;;;;;;;
7/6/2017;18.2267;;;;;;;;
8/6/2017;18.201;;;;;;;;
9/6/2017;18.172;;;;;;;;
12/6/2017;18.1362;;;;;;;;
13/6/2017;18.055;;;;;;;;
14/6/2017;17.9205;;;;;;;;
15/6/2017;18.048;;;;;;;;
16/6/2017;17.9115;;;;;;;;
19/6/2017;17.9575;;;;;;;;
20/6/2017;18.1895;;;;;;;;
21/6/2017;18.2342;;;;;;;;
22/6/2017;18.1115;;;;;;;;
23/6/2017;17.9996;;;;;;;;
26/6/2017;17.872;;;;;;;;
27/6/2017;17.991;;;;;;;;
28/6/2017;17.8525;;;;;;;;
29/6/2017;18.045;;;;;;;;
30/6/2017;18.1278;;;;;;;;
3/7/2017;18.2205;;;;;;;;
4/7/2017;18.202;;;;;;;;
5/7/2017;18.3025;;;;;;;;
6/7/2017;18.2605;;;;;;;;
7/7/2017;18.0875;;;;;;;;
10/7/2017;17.9556;;;;;;;;
11/7/2017;17.907;;;;;;;;
12/7/2017;17.7803;;;;;;;;
13/7/2017;17.678;;;;;;;;
14/7/2017;17.563;;;;;;;;
17/7/2017;17.587;;;;;;;;
18/7/2017;17.4794;;;;;;;;
19/7/2017;17.5475;;;;;;;;
20/7/2017;17.486;;;;;;;;
21/7/2017;17.6597;;;;;;;;
24/7/2017;17.73;;;;;;;;
25/7/2017;17.777;;;;;;;;
26/7/2017;17.59;;;;;;;;
27/7/2017;17.7251;;;;;;;;
28/7/2017;17.7805;;;;;;;;
31/7/2017;17.8013;;;;;;;;
1/8/2017;17.89;;;;;;;;
2/8/2017;17.8178;;;;;;;;
3/8/2017;17.845;;;;;;;;
4/8/2017;17.8875;;;;;;;;
7/8/2017;17.9271;;;;;;;;
8/8/2017;17.8526;;;;;;;;
9/8/2017;17.9485;;;;;;;;
10/8/2017;17.9727;;;;;;;;
11/8/2017;17.8275;;;;;;;;
14/8/2017;17.772;;;;;;;;
15/8/2017;17.8065;;;;;;;;
16/8/2017;17.6646;;;;;;;;
17/8/2017;17.8475;;;;;;;;
18/8/2017;17.7107;;;;;;;;
21/8/2017;17.6552;;;;;;;;
22/8/2017;17.6602;;;;;;;;
23/8/2017;17.687;;;;;;;;
24/8/2017;17.728;;;;;;;;
25/8/2017;17.616;;;;;;;;
28/8/2017;17.875;;;;;;;;
29/8/2017;17.84;;;;;;;;
30/8/2017;17.715;;;;;;;;
31/8/2017;17.887;;;;;;;;
1/9/2017;17.816;;;;;;;;
4/9/2017;17.873;;;;;;;;
5/9/2017;17.9015;;;;;;;;
6/9/2017;17.7915;;;;;;;;
7/9/2017;17.6725;;;;;;;;
8/9/2017;17.71;;;;;;;;
11/9/2017;17.6675;;;;;;;;
12/9/2017;17.73;;;;;;;;
13/9/2017;17.7493;;;;;;;;
14/9/2017;17.6661;;;;;;;;
15/9/2017;17.662;;;;;;;;
18/9/2017;17.7645;;;;;;;;
19/9/2017;17.7995;;;;;;;;
20/9/2017;17.7673;;;;;;;;
21/9/2017;17.882;;;;;;;;
22/9/2017;17.748;;;;;;;;
25/9/2017;17.9295;;;;;;;;
26/9/2017;17.9565;;;;;;;;
27/9/2017;18.209;;;;;;;;
28/9/2017;18.1625;;;;;;;;
29/9/2017;18.255;;;;;;;;
2/10/2017;18.2314;;;;;;;;
3/10/2017;18.217;;;;;;;;
4/10/2017;18.268;;;;;;;;
5/10/2017;18.4945;;;;;;;;
6/10/2017;18.5533;;;;;;;;
9/10/2017;18.673;;;;;;;;
10/10/2017;18.8295;;;;;;;;
11/10/2017;18.7095;;;;;;;;
12/10/2017;18.9075;;;;;;;;
13/10/2017;18.915;;;;;;;;
16/10/2017;19.035;;;;;;;;
17/10/2017;18.771;;;;;;;;
18/10/2017;18.862;;;;;;;;
19/10/2017;18.808;;;;;;;;
20/10/2017;18.99;;;;;;;;
23/10/2017;19.079;;;;;;;;
24/10/2017;19.2325;;;;;;;;
25/10/2017;19.0405;;;;;;;;
26/10/2017;19.206;;;;;;;;
27/10/2017;19.135;;;;;;;;
30/10/2017;19.2405;;;;;;;;
31/10/2017;19.149;;;;;;;;
1/11/2017;19.068;;;;;;;;
2/11/2017;18.9849;;;;;;;;
3/11/2017;19.2025;;;;;;;;
6/11/2017;19.0235;;;;;;;;
7/11/2017;19.1553;;;;;;;;
8/11/2017;19.09;;;;;;;;
9/11/2017;19.0395;;;;;;;;
10/11/2017;19.1125;;;;;;;;
13/11/2017;19.1295;;;;;;;;
14/11/2017;19.1675;;;;;;;;
